,Q(t+1),Q(t+1)truth
0,111.3281478881836,88.80000305175781
1,111.32708740234375,87.0199966430664
2,111.32603454589844,85.2300033569336
3,111.324951171875,83.44999694824219
4,111.32386779785156,81.66000366210938
5,111.32276916503906,79.87999725341797
6,111.3216552734375,78.0999984741211
7,111.32054138183594,76.86000061035156
8,111.31944274902344,75.62000274658203
9,111.31835174560547,74.37999725341797
10,111.31727600097656,73.1500015258789
11,111.31622314453125,71.91000366210938
12,111.315185546875,70.66999816894531
13,111.31417846679688,69.43000030517578
14,111.31319427490234,68.19999694824219
15,111.312255859375,66.95999908447266
16,111.31134796142578,65.72000122070312
17,111.31047058105469,64.4800033569336
18,111.30961608886719,63.25
19,111.30876922607422,62.0099983215332
20,111.30790710449219,60.77000045776367
21,111.30703735351562,59.529998779296875
22,111.30616760253906,58.29999923706055
23,111.3052978515625,52.349998474121094
24,111.30415344238281,46.400001525878906
25,111.30276489257812,51.93000030517578
26,111.3017578125,53.7400016784668
27,111.30085754394531,51.81999969482422
28,111.29986572265625,49.90999984741211
29,111.29889678955078,48.0
30,111.29779815673828,48.0
31,111.29656219482422,47.31999969482422
32,111.29534149169922,46.650001525878906
33,111.29475402832031,45.97999954223633
34,111.29409790039062,45.310001373291016
35,111.29354858398438,44.63999938964844
36,111.29336547851562,43.970001220703125
37,111.29273223876953,43.29999923706055
38,111.29203033447266,43.29999923706055
39,111.29142761230469,43.29999923706055
